year,driver,constructor
2023,VER,RBR
2023,PER,RBR
2023,HAM,MER
2023,RUS,MER
2023,LEC,FER
2023,SAI,FER
2023,NOR,MCL
2023,PIA,MCL
2023,ALO,AMR
2023,STR,AMR
2023,OCO,ALP
2023,GAS,ALP
2023,BOT,ALF
2023,ZHO,ALF
2023,MAG,HAS
2023,HUL,HAS
2023,TSU,AT
2023,RIC,AT
2023,DEV,AT
2023,SAR,WIL
2023,ALB,WIL
2023,LAW,AT
2024,VER,RBR
2024,PER,RBR
2024,HAM,MER
2024,RUS,MER
2024,LEC,FER
2024,SAI,FER
2024,NOR,MCL
2024,PIA,MCL
2024,ALO,AMR
2024,STR,AMR
2024,OCO,ALP
2024,GAS,ALP
2024,BOT,SAU
2024,ZHO,SAU
2024,MAG,HAS
2024,HUL,HAS
2024,TSU,RB
2024,RIC,RB
2024,SAR,WIL
2024,ALB,WIL
2025,VER,RBR
2025,PER,RBR
2025,HAM,FER
2025,LEC,FER
2025,RUS,MER
2025,ANT,MER
2025,NOR,MCL
2025,PIA,MCL
2025,ALO,AMR
2025,STR,AMR
2025,OCO,ALP
2025,GAS,ALP
2025,BOT,SAU
2025,ZHO,SAU
2025,MAG,HAS
2025,HUL,HAS
2025,TSU,RB
2025,RIC,RB
2025,ALB,WIL
2025,SAR,WIL
2025,BEA
2025,SAI
2025,HAD
2025,LAW
2025,LAW 
2025,BOR
2025,COL
2025,DOO

